,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
344,She operates flawlessly,She operated flawlessly,[ 1.6269208  2.3188677  0.9018431 ... -1.7148457 -1.3128875  1.3959478],"[ 1.461922    2.787362    0.57773143 ... -2.280769   -0.39727396
  0.9093499 ]"
345,They misoperate occasionally,They misoperated occasionally,"[ 1.5173386   4.4909973   0.47123536 ...  0.68365324 -2.3896606
  1.8466991 ]","[ 2.1556962   3.9832368   0.855683   ... -0.71542513 -1.6434561
  1.1817852 ]"
346,We calculate precisely,We calculated precisely,"[ 0.33939385  5.071528   -0.3664225  ... -0.7219452  -1.3135744
  2.0120337 ]","[-0.48191753  3.6386063  -0.23553562 ...  0.26211345 -1.7319175
  0.8711869 ]"
347,I miscalculate frequently,I miscalculated frequently,"[ 0.10088651  2.1964462   0.27248466 ... -1.3021952  -0.69665176
  1.3347687 ]","[-0.0500735   2.1269453   0.70780265 ... -1.6419426  -0.49063691
  1.2837574 ]"
348,You estimate approximately,You estimated approximately,"[-1.2577711   4.670729    1.7084879  ... -0.14521797 -1.1511036
  2.5958912 ]","[-2.761491    3.9018724   1.8997093  ... -1.2709364   0.32388973
  1.5471328 ]"
349,It approximates closely,It approximated closely,[0.8982682 2.014423  1.6563323 ... 0.7979461 0.8293246 2.2239885],[1.6531191  0.83157516 1.7788296  ... 0.3603178  0.94630885 2.7180219 ]
350,He approximates roughly,He approximated roughly,[0.8141223 3.2006354 1.6310642 ... 0.8322234 1.1529092 2.1578598],[0.04075104 3.2936735  1.4675509  ... 0.573645   1.1416776  2.0120602 ]
351,She organizes efficiently,She organized efficiently,"[ 2.3129954   3.2583473   2.1093216  ...  0.24931774 -1.2677792
  2.1523888 ]","[ 1.5143037   2.5096295   2.1237223  ... -0.8326569   0.21274905
  2.715741  ]"
352,They disorganize haphazardly,They disorganized haphazardly,"[ 1.3930621   1.1997157   0.12161171 ...  0.82016987 -0.79012066
  1.6099864 ]","[ 1.2581708  -0.74089676  0.21727598 ...  1.1737459   0.23081782
  1.4921979 ]"
353,We streamline effectively,We streamlined effectively,"[-0.544594    5.6780205   0.580772   ... -0.08420561  0.05288186
  2.1303418 ]","[-0.48428836  3.3441837   0.10260025 ... -0.8514412   0.29387882
  1.4432559 ]"
354,I complicate unnecessarily,I complicated unnecessarily,"[ 0.89473134  0.8711187   0.7760194  ... -1.4857645  -1.827457
  3.0630941 ]","[ 1.7619944   1.6996865  -0.05823893 ... -1.3767443  -1.1306661
  3.3265178 ]"
355,You simplify considerably,You simplified considerably,"[ 0.0165146   3.0244873   0.34441647 ...  1.3679813  -1.4374787
  3.3698437 ]","[-0.05067092  1.4236208  -0.01912231 ... -0.11492116 -0.4203352
  2.5749514 ]"
356,It intensifies dramatically,It intensified dramatically,"[-0.29451206  3.5479665   1.9969797  ...  0.7161374  -1.0557505
  1.4237305 ]","[-0.08480197  2.0282094   1.0170718  ...  0.15487337 -0.73212284
  2.4911528 ]"
357,He diminishes gradually,He diminished gradually,"[ 1.9001373   4.144247    1.146392   ... -0.34656698  0.7137506
  1.553895  ]","[ 1.372151    4.2249374   0.92498595 ... -0.275524    0.5416894
  1.0472708 ]"
358,She increases significantly,She increased significantly,"[ 1.2703537   5.2145114   1.3335668  ...  0.60148734 -1.7163302
  1.6405336 ]","[ 0.7344571   4.054081    1.4216229  ...  0.16511916 -1.8635737
  2.7648056 ]"
359,They decrease substantially,They decreased substantially,"[ 1.5958153   4.847539   -0.47232214 ...  0.01178635 -1.2891426
  1.8440675 ]","[ 1.5816956   2.423754   -0.07085768 ... -0.90404826 -0.85164595
  2.149143  ]"
360,Birds fly south,Birds flew south,"[ 1.3107684  -0.11160803 -0.4117373  ... -2.9348154  -0.01984677
  3.9042344 ]","[ 0.91826713 -0.67444575 -0.01318465 ... -2.5826235   0.6525568
  3.1985483 ]"
361,Fish swim in schools,Fish swam in schools,"[-1.3263524   1.1770408  -1.862373   ...  0.96716624 -4.7454543
  2.7234607 ]","[-1.281155   -0.46381682 -0.6901526  ...  0.6376127  -3.036901
  1.869928  ]"
362,Dogs bark at night,Dogs barked at night,"[-0.9261072   3.5151143   0.3970899  ... -0.5229217   0.06568842
 -0.81078035]","[-0.98122746  3.0663755  -0.48814932 ... -1.3145127  -0.36453986
 -0.29420456]"
363,Cats sleep soundly,Cats slept soundly,"[ 1.2443196   0.13202019  0.9561726  ... -1.4250923   1.3906461
  2.684307  ]","[ 2.1351469  -0.15558138 -0.8091515  ... -1.939936    0.99085057
  4.072237  ]"
364,Horses run swiftly,Horses ran swiftly,[ 2.4242277  1.9129786 -1.1906899 ... -2.4091513 -1.6251173  2.5014822],[ 2.0880952  1.095098  -2.2635763 ... -2.4011443 -0.5245365  2.1479368]
365,Cows graze peacefully,Cows grazed peacefully,"[ 0.5346402   0.96094275  2.2661922  ... -0.94863576 -0.99750865
  4.0564175 ]",[ 1.8461453 -0.6340427  1.788263  ... -2.1713848 -0.7321556  4.151733 ]
366,Sheep bleat softly,Sheep bleated softly,[ 0.7694799  0.2657273  1.8895302 ... -2.110815  -1.0787821  2.263161 ],"[ 4.0310106e-01  1.3536453e-03  1.4790256e+00 ... -2.3611705e+00
 -5.4224950e-01  2.0630107e+00]"
367,Pigs wallow in mud,Pigs wallowed in mud,"[-1.9762087   0.43352965 -1.5118995  ... -0.46620962  0.7841075
  2.0537443 ]","[-1.9816114   0.8242175  -1.781848   ... -0.85563236  0.6625915
  1.7797331 ]"
368,Goats climb mountains,Goats climbed mountains,[ 2.9580116  2.1125016  2.1572263 ... -1.2946925  0.4474195  2.3135405],[ 3.211361   2.032242   1.7082319 ... -1.9440001  2.1652095  2.2510905]
369,Chickens peck grains,Chickens pecked grains,"[ 0.33055702  0.45266452  3.096132   ... -0.07590308 -0.9754059
  1.2162837 ]","[ 0.30404165  0.7289379   2.4246001  ... -0.2324401  -0.63521373
  0.8051797 ]"
370,Ducks swim in ponds,Ducks swam in ponds,"[-1.775013   -0.3622571  -3.7559028  ... -0.51399744 -0.67020875
  3.2292416 ]","[-0.8998241   0.09095945 -2.1832826  ... -0.4491023  -0.71830076
  3.2489548 ]"
371,Geese fly in formation,Geese flew in formation,"[ 0.5248352  -0.20721897  0.09277401 ... -1.467884   -1.5205961
  0.31117862]","[-0.72018564 -0.1007062   0.11547942 ... -1.4734166  -0.6673815
  1.2617942 ]"
372,Swans glide gracefully,Swans glided gracefully,"[ 3.3520586  -1.0751193   0.69157314 ... -1.6771083  -0.7122263
  1.4746276 ]","[ 2.9921246  -0.26040053  0.5120331  ... -1.2922322   0.92823756
  2.1697526 ]"
373,Eagles soar high,Eagles soared high,"[ 1.926048   -0.8862235   1.1928602  ... -1.7811663  -0.33017978
  4.5831676 ]","[ 1.7904565  -1.4639943   1.5997442  ... -2.436604    0.61329085
  4.842883  ]"
374,Hawks hunt skillfully,Hawks hunted skillfully,"[ 2.1002774   0.96820486  0.50401735 ... -3.712878   -1.9613949
  3.4020436 ]","[ 2.358833    0.37727007 -0.20107189 ... -4.2352104   0.21981478
  2.7174232 ]"
375,Owls hunt at night,Owls hunted at night,"[ 0.48086432 -0.6148249   1.3748083  ... -2.7200406  -1.0210234
  1.4212546 ]","[ 0.9886523  -0.16849768  1.0543584  ... -3.327692    0.08452211
  0.8284306 ]"
376,Ravens caw loudly,Ravens cawed loudly,"[ 1.4989681  -0.08111775  1.0813048  ... -1.6606306   0.97131014
  2.9966278 ]","[ 0.7624745  -0.2283691   0.47319296 ... -1.5257863   1.2006037
  2.8135219 ]"
377,Sparrows chirp merrily,Sparrows chirped merrily,"[ 1.7500017  -1.5069602   0.21916458 ... -0.28170538 -2.2241883
  0.8219199 ]","[ 1.3011854  -1.4942992  -0.2464576  ... -0.42195058 -1.874645
  1.4743439 ]"
378,Robins build nests,Robins built nests,"[ 3.9665093   0.43624362  1.8209194  ... -3.3130217  -1.8102907
 -0.42175144]","[ 3.511407   -0.5410228   1.4307911  ... -2.841341   -0.92566323
  0.56393325]"
379,Bluebirds sing sweetly,Bluebirds sang sweetly,"[ 0.81016195 -0.08559635 -0.54933614 ... -1.1165384  -3.3575325
 -0.32254753]","[ 0.85227966 -1.2578893  -0.63011825 ... -1.2351476  -3.1820347
  1.1297145 ]"
380,Cardinals flash red,Cardinals flashed red,"[-0.13163108  0.52544624  1.281878   ... -2.3340943   0.2578351
  4.2258115 ]","[-0.06801385  0.26622096  0.56931555 ... -3.0726657   0.0704447
  3.8292327 ]"
381,Woodpeckers peck trees,Woodpeckers pecked trees,"[ 0.34256998 -1.1368381   0.457664   ... -0.00878588  2.0256786
  0.727939  ]","[ 0.17656618 -0.7360042  -0.09860459 ... -0.07335213  2.0198045
  0.36181432]"
382,Squirrels gather nuts,Squirrels gathered nuts,"[ 0.9466141   0.71977824  1.5346578  ... -1.7757149  -0.00201271
  0.848368  ]","[ 1.0093994   0.11968403  0.9381889  ... -2.2216802   0.49142283
  0.98648185]"
383,Rabbits hop quickly,Rabbits hopped quickly,"[ 3.8569298   1.3648468   0.28428987 ... -1.4282178   0.13001902
  3.8726094 ]","[ 3.604       0.3709692  -0.17451878 ... -1.105487    0.88549334
  2.8573809 ]"
384,Deer leap gracefully,Deer leaped gracefully,"[ 3.1200185  -1.7176251  -0.93735504 ... -1.1622458  -1.192373
  4.3886814 ]","[ 1.4665043  -0.40608448 -0.91269237 ... -2.7571652   0.09403829
  2.9024463 ]"
385,Foxes stalk prey,Foxes stalked prey,"[ 0.912431   -1.5209073   1.23321    ... -0.02081633 -2.5704017
  3.4020882 ]","[ 0.578728   -2.0810971   0.84980285 ... -0.02629008 -1.7994848
  2.9868443 ]"
386,Wolves howl at night,Wolves howled at night,"[-0.33226874 -0.50717425 -1.8853792  ... -1.4169182   0.5368832
  2.0190864 ]","[-0.22687285 -0.0046066  -2.5653632  ... -1.4481047   1.0206918
  2.2651198 ]"
387,Bears hibernate in winter,Bears hibernated in winter,[ 0.7259523  1.0024899 -2.0025449 ... -2.4143708  2.6306078  3.8976371],[ 0.5445633  0.2714477 -1.9268926 ... -2.1910832  2.8526263  3.4070668]
388,Lions hunt in pride,Lions hunted in pride,"[-0.05938327  0.9332447  -0.9692712  ... -1.0229979  -1.6742932
  3.4756107 ]","[-0.22460477  1.2428405  -1.6927936  ... -1.1868442  -0.24447799
  2.8717122 ]"
389,Tigers stalk silently,Tigers stalked silently,"[ 1.8283802   0.0480835   0.40856886 ... -0.09008775 -1.162385
  4.295218  ]","[ 1.4660245  -0.6667552   0.45084375 ... -0.04401603 -0.6046492
  3.9566333 ]"
390,Elephants roam grasslands,Elephants roamed grasslands,"[ 0.41361532 -1.4589701  -0.24752417 ... -1.3126419  -1.6781849
  2.7598948 ]","[ 0.2538152  -0.28711763  0.8359704  ... -0.7831426  -0.7843532
  2.2998664 ]"
391,Giraffes reach high branches,Giraffes reached high branches,[-1.853759  -1.2873875  2.3219543 ... -0.9101835 -1.4395353  1.2129986],"[-1.534311   -1.2758503   1.8905134  ... -1.193524   -0.30077985
  1.962952  ]"
392,Zebras graze together,Zebras grazed together,[-2.3739166 -1.1205809  3.0880914 ...  0.4960966 -3.1315615  4.5914392],[-1.4546423 -1.9099404  1.1066791 ... -0.885057  -2.544731   5.986457 ]
393,Monkeys swing through trees,Monkeys swung through trees,"[ 0.9182619   0.769925   -0.07131175 ...  0.579453   -0.9212599
  2.1147141 ]","[ 1.0119896  -0.33373004 -0.36163092 ... -0.16425292 -0.05098517
  2.2368093 ]"
394,Parrots squawk loudly,Parrots squawked loudly,"[-1.1087043   1.7428777  -0.05204332 ... -1.667827   -0.23428912
  1.9880829 ]","[-1.6121007   1.5417663  -0.2980654  ... -1.1820668  -0.01535163
  1.8239961 ]"
395,Peacocks display feathers,Peacocks displayed feathers,"[-0.84817106 -1.488424    0.11077955 ... -1.9122574  -2.4877625
  1.7279154 ]","[-0.94611615 -1.4421635  -0.10851721 ... -2.5903847  -2.1522436
  2.1879127 ]"
396,Ostriches run swiftly,Ostriches ran swiftly,[-1.3837303  1.2801279  1.9772067 ... -2.4938278  0.2544649  2.7297487],"[-1.169891    0.7853834   1.6753997  ... -2.6473086   0.84347564
  2.2784371 ]"
397,Kangaroos hop easily,Kangaroos hopped easily,"[ 1.0813583  -0.92503244  1.8321695  ... -0.16605134  2.0611565
  2.9282277 ]",[ 0.8527688 -1.0224224  1.7892666 ...  0.4277902  2.8137028  2.3667338]
398,Koalas sleep in trees,Koalas slept in trees,"[-0.93576634 -0.69113475  0.3309194  ...  0.6361443   2.7693336
  0.7249852 ]","[-0.70859116 -1.2567832   0.05753592 ... -0.20551065  2.955084
  1.6244818 ]"
399,Pandas eat bamboo,Pandas ate bamboo,"[-0.8957642   2.1226315   0.4205921  ...  0.0469501  -0.62480545
  1.7092879 ]",[-0.5880983  0.9111025  1.0776358 ... -1.1642871  1.1493863  2.170092 ]
400,Polar bears swim in water,Polar bears swam in water,"[-0.29225048  2.9989212  -1.361014   ... -1.1022578  -1.8491201
  1.6884394 ]","[-0.21617481  1.8600156  -0.5447513  ... -0.9918231  -1.7554095
  1.7658981 ]"
401,Seals bask on ice,Seals basked on ice,"[-0.18502036  0.94817525  0.45925027 ... -1.869137    0.52862513
  2.031821  ]",[-0.275735   0.7904956  0.1863362 ... -1.7743341  0.733305   1.7560648]
402,Walruses haul out on land,Walruses hauled out on land,"[-1.3967679  -1.3873698   1.189214   ... -0.44253832  2.8628485
  2.0879474 ]","[-1.2844527  -1.1395249   0.48508796 ... -0.26619428  3.681704
  1.9804903 ]"
403,Reindeer migrate yearly,Reindeer migrated yearly,[ 1.2590644 -1.9799454  1.3597364 ... -5.759097   1.4216467  1.0912306],[ 1.3157654 -1.7388237  1.259057  ... -5.814386   2.5280147  1.361892 ]
404,Arctic foxes hunt lemmings,Arctic foxes hunted lemmings,"[ 1.5859859   0.6987122   0.17291951 ... -2.8720233  -0.37928045
  0.9449585 ]","[ 1.0437104   1.0446817  -0.07644787 ... -3.0536718   0.57081056
  0.98850536]"
405,Snowy owls hunt silently,Snowy owls hunted silently,"[ 0.05510626 -1.8105704   0.16509266 ... -3.0965588  -1.828528
  1.178224  ]","[-0.00764058 -1.3984448   0.03604279 ... -3.3989136  -0.9241714
  0.7897272 ]"
406,Musk oxen graze peacefully,Musk oxen grazed peacefully,"[-0.90437514 -0.18450549  1.8220806  ... -1.6137635  -0.15343572
  4.608773  ]","[-0.18095496 -1.5340832   1.5356497  ... -2.6648242  -0.19401142
  4.468942  ]"
407,Caribou migrate long distances,Caribou migrated long distances,"[ 1.7843285  -1.872735   -1.1335316  ... -2.3698463  -0.11249182
  3.4188306 ]",[ 0.7331648 -1.9493879 -1.4508743 ... -2.8653076  0.7434638  3.8394184]
408,People walk steadily,People walked steadily,"[ 1.7121506  -1.6348532  -2.111502   ... -0.9843163  -0.49805215
  1.6762632 ]","[ 1.5383469  -1.4277477  -1.0888829  ... -1.6357898  -0.13802965
  0.75471395]"
409,Children play joyfully,Children played joyfully,"[-1.2849895   0.03936374 -0.94979024 ... -3.50631    -2.3437784
  4.1985087 ]","[-0.19627094 -0.3430807  -0.6044477  ... -4.209955   -1.6655483
  3.2323139 ]"
410,Babies sleep peacefully,Babies slept peacefully,"[ 1.5239055   0.18006578  0.96051663 ... -0.34226915  0.992157
  2.9449422 ]","[ 2.249594   -0.7155941  -0.23011564 ... -0.6591919  -0.04898793
  3.7459059 ]"
411,Teenagers study diligently,Teenagers studied diligently,"[-3.272317   -0.23101448  1.2431829  ... -0.68254024 -4.003276
  2.8666031 ]","[-2.2901351  -0.43130028  0.65763336 ... -1.5964619  -2.5852692
  2.6198668 ]"
412,Adults work hard,Adults worked hard,"[-1.9039047  -0.9103877   1.6637347  ...  1.8026879  -0.48325202
  4.090827  ]","[-1.0591456  -0.53175145  0.14807777 ...  0.24361078  0.08465648
  3.2516    ]"
413,Seniors relax comfortably,Seniors relaxed comfortably,"[-0.47091037 -0.8259455   1.5637482  ... -0.14205551  0.9637361
  4.269809  ]","[ 0.21989016 -0.89599407  1.4048004  ...  0.62120366  1.4395261
  3.3253844 ]"
414,Students learn attentively,Students learned attentively,[-1.6039153  2.579798   0.9320253 ... -1.8018225 -1.9391065  3.1163998],"[-1.8939066   2.2320025   0.59581757 ... -1.9258198  -0.7604569
  2.265296  ]"
415,Teachers explain clearly,Teachers explained clearly,[-1.2321163  3.3529465  0.561371  ... -1.7575779 -2.2654486  2.634958 ],[-0.8880387  2.2103326  0.5199722 ... -2.09331   -1.1407284  2.857806 ]
416,Doctors heal patients,Doctors healed patients,"[-0.06432573  8.058636    1.424357   ... -1.3845695  -0.6278271
  1.811365  ]",[ 1.4250082  7.213198   0.9051574 ... -1.5090233  1.099204   1.1394354]
417,Nurses care compassionately,Nurses cared compassionately,"[ 3.2400563   5.2937326   1.2176148  ... -0.21616921  0.50844514
  3.5693307 ]","[ 2.2582364   5.356917    0.67330617 ... -1.0556452   0.48226437
  3.6807663 ]"
418,Firefighters fight fires bravely,Firefighters fought fires bravely,"[-0.23894326  4.3138537   0.28072926 ... -1.6925741  -5.485834
  1.664875  ]","[-0.4648669   3.5924654  -0.03085162 ... -2.076429   -5.668817
  0.88726705]"
419,Police officers protect citizens,Police officers protected citizens,"[-1.3728247   6.4222083  -2.284946   ... -0.20325756 -0.9687778
  1.2151192 ]","[-0.36513227  6.0125704  -1.937229   ... -0.9519038  -0.25536674
  1.856575  ]"
420,Soldiers serve bravely,Soldiers served bravely,"[-0.04030256  5.611807    2.3271928  ... -1.1741977  -4.052516
  2.4934926 ]","[ 0.12014542  5.709752    1.3868195  ... -2.1416352  -3.636507
  1.9868021 ]"
421,Scientists research diligently,Scientists researched diligently,"[ 0.24082978  1.9872831   2.8650475  ... -0.6732878  -3.1827374
  3.293149  ]",[-0.3339882  2.240292   1.6274834 ... -1.1525888 -1.9826521  2.1225212]
422,Engineers build structures,Engineers built structures,"[ 4.3154913e-01  5.0147853e+00  7.8730911e-01 ... -2.8956532e-03
 -1.6484671e+00  2.3793373e+00]","[-5.9241951e-02  3.5683157e+00  3.2328689e-01 ... -3.4711882e-04
 -1.7914420e+00  2.2026815e+00]"
423,Writers write stories,Writers wrote stories,"[-1.7210437   1.5636191   0.50853103 ... -1.1103841   0.98283833
  3.127427  ]","[-1.473689    0.101515    0.28692517 ... -1.4010687   1.124145
  2.3129756 ]"
424,Artists create masterpieces,Artists created masterpieces,"[-2.7836425  -0.79809487  1.492826   ... -0.5916686  -0.6110274
  1.6371638 ]","[-2.0733366  -1.7930912   0.79741865 ... -0.96572     0.02515557
  1.1587467 ]"
425,Musicians play instruments,Musicians played instruments,[-1.7238572  2.497754  -1.031595  ... -1.960416  -1.1640558  3.5694633],[-1.5678009  1.2655221 -1.3710208 ... -1.7581269 -0.505387   2.9386342]
426,Singers sing beautifully,Singers sang beautifully,[-1.7068948  2.251811  -2.4138093 ... -1.2174755 -1.4358696  2.6139326],[-1.0488266  1.8063359 -1.6386403 ... -1.3775644 -1.1587434  2.0189564]
427,Dancers dance gracefully,Dancers danced gracefully,[-1.460707  -2.741982  -2.4804664 ...  1.1246941 -1.4734633  3.878241 ],[-0.983207  -2.7015538 -2.5695417 ...  0.6138041 -0.9596044  3.564606 ]
428,Actors act convincingly,Actors acted convincingly,[ 0.6927888  1.8925803  0.0838057 ... -1.3891195 -1.0607724  3.1114235],"[ 0.29697448  1.5152895  -0.5927442  ... -2.1538289  -0.69414926
  2.4404132 ]"
429,Directors guide performances,Directors guided performances,"[-0.06716789  0.46068186 -0.35368398 ... -1.2919661   1.6525742
  3.0049229 ]","[-1.3329732  -0.6573101  -0.47785327 ... -1.4235891   0.93873286
  3.1007347 ]"
430,Producers manage productions,Producers managed productions,"[-0.2484279   0.8858286   0.21415016 ... -0.27099323 -0.7578201
  3.2247214 ]","[ 0.34963778  0.59717584 -0.14621252 ... -0.6851629   0.7777309
  2.8525689 ]"
431,Writers script dialogues,Writers scripted dialogues,"[-0.53597295 -0.13327824  1.734329   ... -0.8667367  -0.0547477
  3.1067996 ]","[-1.0462382  -0.3083169   0.8684767  ... -1.2509899   0.43477154
  2.0567975 ]"
432,Editors edit carefully,Editors edited carefully,"[ 0.743412    2.522063    0.27638784 ... -0.12246287 -1.2736069
  1.9380258 ]","[ 0.95598036  1.4517194  -0.59916145 ... -1.6822084  -0.74294215
  2.0499477 ]"
433,Photographers capture moments,Photographers captured moments,"[-4.2254944  -0.15467498  0.06419282 ...  0.71840936 -2.162019
  1.818843  ]","[-3.395977   -2.063862   -0.5496805  ...  0.25247565 -1.6723757
  2.0062494 ]"
434,Painters paint pictures,Painters painted pictures,"[-0.75169957 -1.4084649   0.9351419  ... -1.0369421  -1.0090173
  0.7426332 ]","[-0.22194487 -1.6370065   0.8986193  ... -1.1847967  -0.34039363
  0.39444366]"
